k,config,n,steps_per_sec,iters,warmup,repeats
16,"articulated-body kernel, eval every 32",32,328109,64,8,3
16,"articulated-body kernel, eval every 32",64,665448,64,8,3
16,"articulated-body kernel, eval every 32",128,1355039,64,8,3
16,"articulated-body kernel, eval every 32",256,2400674,64,8,3
16,"articulated-body kernel, eval every 32",512,4973641,64,8,3
16,"articulated-body kernel, eval every 32",1024,9584673,64,8,3
16,"articulated-body kernel, eval every 32",2048,17569288,64,8,3
16,"articulated-body kernel, eval every 32",4096,30426138,64,8,3
16,"articulated-body kernel, eval every 32",8192,48002196,64,8,3
16,"articulated-body kernel, eval every 32",16384,52591397,64,8,3
16,"articulated-body kernel, eval every 32",32768,59909000,64,8,3
16,"articulated-body kernel, eval every 32",65536,68215640,64,8,3
16,"mass-matrix kernel (v10), eval every 32",1,2508,64,8,3
16,"mass-matrix kernel (v10), eval every 32",2,4993,64,8,3
16,"mass-matrix kernel (v10), eval every 32",4,10124,64,8,3
16,"mass-matrix kernel (v10), eval every 32",8,20376,64,8,3
16,"mass-matrix kernel (v10), eval every 32",16,40504,64,8,3
16,"mass-matrix kernel (v10), eval every 32",32,80451,64,8,3
16,"mass-matrix kernel (v10), eval every 32",64,161824,64,8,3
16,"mass-matrix kernel (v10), eval every 32",128,319871,64,8,3
16,"mass-matrix kernel (v10), eval every 32",256,506390,64,8,3
16,"mass-matrix kernel (v10), eval every 32",512,1016686,64,8,3
16,"mass-matrix kernel (v10), eval every 32",1024,2007338,64,8,3
16,"mass-matrix kernel (v10), eval every 32",2048,3843096,64,8,3
16,"mass-matrix kernel (v10), eval every 32",4096,6751054,64,8,3
16,"mass-matrix kernel (v10), eval every 32",8192,8721460,64,8,3
16,"mass-matrix kernel (v10), eval every 32",16384,10096709,64,8,3
16,"mass-matrix kernel (v10), eval every 32",32768,11285601,64,8,3
16,"mass-matrix kernel (v10), eval every 32",65536,12199473,64,8,3
32,numpy (articulated body),1,186,64,8,3
32,numpy (articulated body),2,373,64,8,3
32,numpy (articulated body),4,744,64,8,3
32,numpy (articulated body),8,1461,64,8,3
32,numpy (articulated body),16,2978,64,8,3
32,numpy (articulated body),32,5904,64,8,3
32,numpy (articulated body),64,11323,64,8,3
32,numpy (articulated body),128,21994,64,8,3
32,numpy (articulated body),256,38171,64,8,3
32,numpy (articulated body),512,64571,64,8,3
32,numpy (articulated body),1024,104078,64,8,3
32,numpy (articulated body),2048,155440,64,8,3
32,numpy (articulated body),4096,166333,64,8,3
32,numpy (articulated body),8192,176390,64,8,3
32,numpy (articulated body),16384,93358,64,8,3
32,numpy (articulated body),32768,111974,64,8,3
32,numpy (articulated body),65536,150518,64,8,3
32,"mlx compiled (articulated body), eval every 32",1,45,64,8,3
32,"mlx compiled (articulated body), eval every 32",2,104,64,8,3
32,"mlx compiled (articulated body), eval every 32",4,209,64,8,3
32,"mlx compiled (articulated body), eval every 32",8,434,64,8,3
32,"mlx compiled (articulated body), eval every 32",16,799,64,8,3
32,"mlx compiled (articulated body), eval every 32",32,1548,64,8,3
32,"mlx compiled (articulated body), eval every 32",64,3054,64,8,3
32,"mlx compiled (articulated body), eval every 32",128,5889,64,8,3
32,"mlx compiled (articulated body), eval every 32",256,11180,64,8,3
32,"mlx compiled (articulated body), eval every 32",512,23607,64,8,3
32,"mlx compiled (articulated body), eval every 32",1024,46075,64,8,3
32,"mlx compiled (articulated body), eval every 32",2048,79008,64,8,3
32,"mlx compiled (articulated body), eval every 32",4096,168777,64,8,3
32,"mlx compiled (articulated body), eval every 32",8192,336462,64,8,3
32,"mlx compiled (articulated body), eval every 32",16384,780324,64,8,3
32,"mlx compiled (articulated body), eval every 32",32768,1577566,64,8,3
32,"mlx compiled (articulated body), eval every 32",65536,1841996,64,8,3
32,"articulated-body kernel, eval every step",1,2208,64,8,3
32,"articulated-body kernel, eval every step",2,5780,64,8,3
32,"articulated-body kernel, eval every step",4,11981,64,8,3
32,"articulated-body kernel, eval every step",8,23340,64,8,3
32,"articulated-body kernel, eval every step",16,45874,64,8,3
32,"articulated-body kernel, eval every step",32,93304,64,8,3
32,"articulated-body kernel, eval every step",64,182156,64,8,3
32,"articulated-body kernel, eval every step",128,364210,64,8,3
32,"articulated-body kernel, eval every step",256,651830,64,8,3
32,"articulated-body kernel, eval every step",512,1289567,64,8,3
32,"articulated-body kernel, eval every step",1024,2625299,64,8,3
32,"articulated-body kernel, eval every step",2048,5348086,64,8,3
32,"articulated-body kernel, eval every step",4096,10162869,64,8,3
32,"articulated-body kernel, eval every step",8192,12534629,64,8,3
32,"articulated-body kernel, eval every step",16384,13724779,64,8,3
32,"articulated-body kernel, eval every step",32768,14893558,64,8,3
32,"articulated-body kernel, eval every step",65536,15613636,64,8,3
32,"articulated-body kernel, eval every 32",1,6329,64,8,3
32,"articulated-body kernel, eval every 32",2,13405,64,8,3
32,"articulated-body kernel, eval every 32",4,26393,64,8,3
32,"articulated-body kernel, eval every 32",8,50564,64,8,3
32,"articulated-body kernel, eval every 32",16,103684,64,8,3
32,"articulated-body kernel, eval every 32",32,210104,64,8,3
32,"articulated-body kernel, eval every 32",64,415656,64,8,3
32,"articulated-body kernel, eval every 32",128,735916,64,8,3
32,"articulated-body kernel, eval every 32",256,1343883,64,8,3
32,"articulated-body kernel, eval every 32",512,2658086,64,8,3
32,"articulated-body kernel, eval every 32",1024,5348404,64,8,3
32,"articulated-body kernel, eval every 32",2048,10468312,64,8,3
32,"articulated-body kernel, eval every 32",4096,17206224,64,8,3
32,"articulated-body kernel, eval every 32",8192,18300953,64,8,3
32,"articulated-body kernel, eval every 32",16384,17483879,64,8,3
32,"articulated-body kernel, eval every 32",32768,17472311,64,8,3
32,"articulated-body kernel, eval every 32",65536,17807725,64,8,3
64,numpy (articulated body),1,93,64,8,3
64,numpy (articulated body),2,186,64,8,3
64,numpy (articulated body),4,373,64,8,3
64,numpy (articulated body),8,738,64,8,3
64,numpy (articulated body),16,1443,64,8,3
64,numpy (articulated body),32,2910,64,8,3
64,numpy (articulated body),64,5713,64,8,3
64,numpy (articulated body),128,10666,64,8,3
64,numpy (articulated body),256,17580,64,8,3
64,numpy (articulated body),512,30887,64,8,3
64,numpy (articulated body),1024,51263,64,8,3
64,numpy (articulated body),2048,63302,64,8,3
64,numpy (articulated body),4096,70020,64,8,3
64,numpy (articulated body),8192,77872,64,8,3
64,numpy (articulated body),16384,48025,64,8,3
64,numpy (articulated body),32768,54375,64,8,3
64,numpy (articulated body),65536,84588,64,8,3
64,"mlx compiled (articulated body), eval every 32",1,26,64,8,3
64,"mlx compiled (articulated body), eval every 32",2,51,64,8,3
64,"mlx compiled (articulated body), eval every 32",4,103,64,8,3
64,"mlx compiled (articulated body), eval every 32",8,207,64,8,3
64,"mlx compiled (articulated body), eval every 32",16,419,64,8,3
64,"mlx compiled (articulated body), eval every 32",32,766,64,8,3
64,"mlx compiled (articulated body), eval every 32",64,1561,64,8,3
64,"mlx compiled (articulated body), eval every 32",128,3138,64,8,3
64,"mlx compiled (articulated body), eval every 32",256,6206,64,8,3
64,"mlx compiled (articulated body), eval every 32",512,12108,64,8,3
64,"mlx compiled (articulated body), eval every 32",1024,23177,64,8,3
64,"mlx compiled (articulated body), eval every 32",2048,44418,64,8,3
64,"mlx compiled (articulated body), eval every 32",4096,86624,64,8,3
64,"mlx compiled (articulated body), eval every 32",8192,181193,64,8,3
64,"mlx compiled (articulated body), eval every 32",16384,388185,64,8,3
64,"mlx compiled (articulated body), eval every 32",32768,648483,64,8,3
64,"mlx compiled (articulated body), eval every 32",65536,793156,64,8,3
64,"articulated-body kernel, eval every step",1,2305,64,8,3
64,"articulated-body kernel, eval every step",2,4789,64,8,3
64,"articulated-body kernel, eval every step",4,9677,64,8,3
64,"articulated-body kernel, eval every step",8,18874,64,8,3
64,"articulated-body kernel, eval every step",16,37647,64,8,3
64,"articulated-body kernel, eval every step",32,75481,64,8,3
64,"articulated-body kernel, eval every step",64,149426,64,8,3
64,"articulated-body kernel, eval every step",128,264188,64,8,3
64,"articulated-body kernel, eval every step",256,470783,64,8,3
64,"articulated-body kernel, eval every step",512,996003,64,8,3
64,"articulated-body kernel, eval every step",1024,1093175,64,8,3
64,"articulated-body kernel, eval every step",2048,1089573,64,8,3
64,"articulated-body kernel, eval every step",4096,4935532,64,8,3
64,"articulated-body kernel, eval every step",8192,3752380,64,8,3
64,"articulated-body kernel, eval every step",16384,3884416,64,8,3
64,"articulated-body kernel, eval every step",32768,3894883,64,8,3
64,"articulated-body kernel, eval every step",65536,3863401,64,8,3
64,"articulated-body kernel, eval every 32",1,4509,64,8,3
64,"articulated-body kernel, eval every 32",2,9006,64,8,3
64,"articulated-body kernel, eval every 32",4,18079,64,8,3
64,"articulated-body kernel, eval every 32",8,34662,64,8,3
64,"articulated-body kernel, eval every 32",16,68875,64,8,3
64,"articulated-body kernel, eval every 32",32,138837,64,8,3
64,"articulated-body kernel, eval every 32",64,283963,64,8,3
64,"articulated-body kernel, eval every 32",128,469822,64,8,3
64,"articulated-body kernel, eval every 32",256,712705,64,8,3
64,"articulated-body kernel, eval every 32",512,1528088,64,8,3
64,"articulated-body kernel, eval every 32",1024,3059184,64,8,3
64,"articulated-body kernel, eval every 32",2048,4635990,64,8,3
64,"articulated-body kernel, eval every 32",4096,5792501,64,8,3
64,"articulated-body kernel, eval every 32",8192,4448651,64,8,3
64,"articulated-body kernel, eval every 32",16384,4145115,64,8,3
64,"articulated-body kernel, eval every 32",32768,4134353,64,8,3
64,"articulated-body kernel, eval every 32",65536,3961767,64,8,3
